Name,Type,Description,Visible,Title,Date,Journal,Lens_ID,Citations,Importance,Link
"36-0,3253",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/078-087-800-705-67X/main"">
Microwave background anisotropies and large-scale structure in universes with cold dark matter, baryons, radiation, and massive and massless neutrinos</a><br>
Jon A. Holtzman <br><br>
Calculations of microwave backgrond anisotropies at various angular scales and of expected large-scale bulk velocities and mass correlation functions are presented for a variety of models which include baryons, radiation, cold dark matter (CDM), and massive and massless neutrinos. Nearly 100 different models are considered. Open and flat models with both adiabatic and isocurvature initial conditio...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1086/191362"">10.1086/191362</a> ",,"Microwave background anisotropies and large-scale structure in universes with cold dark matter, baryons, radiation, and massive and massless neutrinos",2018-05-12,Astrophysical Journal Supplement Series,078-087-800-705-67X,164,0.3253,
"37-0,322",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/045-784-673-834-386/main"">
Sterile neutrino hot, warm, and cold dark matter</a><br>
Kevork N. Abazajian, George M. Fuller, Mitesh Patel <br><br>
Author(s): Abazajian, Kevork; Fuller, George M; Patel, Mitesh | Abstract: We calculate the incoherent resonant and non-resonant scattering production of sterile neutrinos in the early universe. We find ranges of sterile neutrino masses, vacuum mixing angles, and initial lepton numbers which allow these species to constitute viable hot, warm, and cold dark matter (HDM, WDM, CDM) candidates which me...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.64.023501"">10.1103/physrevd.64.023501</a> [<a href=""https://arxiv.org/abs/astro-ph/0101524"">PDF</a>]</div>",,"Sterile neutrino hot, warm, and cold dark matter",2018-05-12,Physical Review D,045-784-673-834-386,419,0.322,
"38-0,31",New,"<div><a href=""https://www.lens.org/lens/scholar/article/071-830-953-469-157/main"">
Minimal seesaw extension for neutrino mass and mixing, leptogenesis and dark matter: FIMPzillas through the right-handed neutrino portal</a><br>
Marco Chianese, Bowen Fu, Stephen F. King <br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1475-7516/2020/03/030"">10.1088/1475-7516/2020/03/030</a> ",,"Minimal seesaw extension for neutrino mass and mixing, leptogenesis and dark matter: FIMPzillas through the right-handed neutrino portal",2020-03-23,Journal of Cosmology and Astroparticle Physics,071-830-953-469-157,0,0.31,
"39-0,2974",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/013-010-274-263-387/main"">
Sterile neutrinos, dark matter, and pulsar velocities in models with a Higgs singlet.</a><br>
Alexander Kusenko <br><br>
We identify the range of parameters for which the sterile neutrinos can simultaneously explain the cosmological dark matter and the observed velocities of pulsars. To satisfy all cosmological bounds, the relic sterile neutrinos must be produced sufficiently cold. This is possible in a class of models with a gauge-singlet Higgs boson coupled to the neutrinos. Sterile dark matter can be detected by ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.97.241301"">10.1103/physrevlett.97.241301</a> [<a href=""http://www.arxiv-vanity.com/papers/hep-ph/0609081/"">PDF</a>]</div>",,"Sterile neutrinos, dark matter, and pulsar velocities in models with a Higgs singlet.",2018-05-12,Physical Review Letters,013-010-274-263-387,247,0.2974,
"40-0,2907",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/043-095-450-530-557/main"">
Restrictions on parameters of sterile neutrino dark matter from observations of galaxy clusters</a><br>
Alexey Boyarsky, Andrey Neronov, Oleg Ruchayskiy, <i>et al.</i> <br><br>
We find restrictions on the mass and mixing angle of the dark matter sterile neutrinos using X-ray observations of Coma and Virgo galaxy clusters.
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.74.103506"">10.1103/physrevd.74.103506</a> [<a href=""http://arxiv.org/pdf/astro-ph/0603368.pdf"">PDF</a>]</div>",,Restrictions on parameters of sterile neutrino dark matter from observations of galaxy clusters,2018-05-12,Physical Review D,043-095-450-530-557,114,0.2907,
"41-0,29",New,"<div><a href=""https://www.lens.org/lens/scholar/article/145-907-801-501-272/main"">
Minimal dark matter models with radiative neutrino masses: From Lagrangians to observables.</a><br>
Simon May <br><br>
In this master's thesis, the minimal dark matter models with radiative neutrino masses introduced in arXiv:1308.3655 are examined both in general and, using the model T1-3-B ($\alpha = 0$) as a representative, in more detail. In the process, it is both shown how such models are built and a numerical analysis tool chain is established, automating as many steps as possible from the very beginning (d...
<br><br>
[<a href=""http://arxiv.org/pdf/2003.04157.pdf"">PDF</a>]</div>",,Minimal dark matter models with radiative neutrino masses: From Lagrangians to observables.,2020-03-23,arXiv: High Energy Physics - Phenomenology,145-907-801-501-272,0,0.29,
"42-0,2821",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/060-236-184-404-031/main"">
Inert-sterile neutrino: Cold or warm dark matter candidate</a><br>
Graciela B. Gelmini, Efunwande Osoba, Sergio Palomares-Ruiz <br><br>
In usual particle models, sterile neutrinos can account for the dark matter of the Universe only if they have masses in the keV range and are warm dark matter. Stringent cosmological and astrophysical bounds, in particular, imposed by x-ray observations, apply to them. We point out that in a particular variation of the inert doublet model, sterile neutrinos can account for the dark matter in the U...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.81.063529"">10.1103/physrevd.81.063529</a> [<a href=""https://arxiv.org/pdf/0912.2478"">PDF</a>]</div>",,Inert-sterile neutrino: Cold or warm dark matter candidate,2018-05-12,Physical Review D,060-236-184-404-031,44,0.2821,
"43-0,2748",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/019-696-870-676-337/main"">
Connecting neutrino physics with dark matter</a><br>
Massimiliano Lattanzi, Roberto A. Lineros, Marco Taoso <br><br>
The origin of neutrino masses and the nature of dark matter are two in most pressing open questions in modern astro-particle physics. We consider here the possibility that these two problems are related, and review some theoretical scenarios which offer common solutions. A simple possibility is that the dark matter particle emerges in minimal realizations of the seesaw mechanism, as in the majoron...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1367-2630/16/12/125012"">10.1088/1367-2630/16/12/125012</a> [<a href=""https://arxiv.org/pdf/1406.0004"">PDF</a>]</div>",,Connecting neutrino physics with dark matter,2018-05-12,New Journal of Physics,019-696-870-676-337,38,0.2748,
"44-0,2644",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/037-132-660-987-582/main"">
Two loop neutrino model and dark matter particles with global B−L symmetry</a><br>
Seungwon Baek, Hiroshi Okada, Takashi Toma <br><br>
We study a two loop induced seesaw model with global U(1)B−L symmetry, in which we consider two component dark matter particles. The dark matter properties are investigated together with some phenomenological constraints such as electroweak precision test, neutrino masses and mixing and lepton flavor violation. In particular, the mixing angle between the Standard Model like Higgs and an extra Higg...
<br><br>
[<a href=""https://arxiv.org/abs/1312.3761"">PDF</a>]</div>",,Two loop neutrino model and dark matter particles with global B−L symmetry,2018-05-15,Journal of Cosmology and Astroparticle Physics,037-132-660-987-582,32,0.2644,
"45-0,2594",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/072-464-640-315-877/main"">
Limits on the Radiative Decay of Sterile Neutrino Dark Matter from the Unresolved Cosmic and Soft X-ray Backgrounds</a><br>
Kevork N. Abazajian, Maxim Markevitch, Savvas M. Koushiappas, <i>et al.</i> <br><br>
We present upper limits on line emission in the Cosmic X-ray background (CXB) that would be produced by decay of sterile neutrino dark matter. We employ the spectra of the unresolved component of the CXB in the Chandra Deep Fields North and South obtained with the Chandra CCD detector in the E=0.8-9 keV band. The expected decay flux comes from the dark matter on the lines of sight through the Milk...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.75.063511"">10.1103/physrevd.75.063511</a> [<a href=""https://arxiv.org/abs/astro-ph/0611144"">PDF</a>]</div>",,Limits on the Radiative Decay of Sterile Neutrino Dark Matter from the Unresolved Cosmic and Soft X-ray Backgrounds,2018-05-12,Physical Review D,072-464-640-315-877,91,0.2594,
"46-0,2592",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/125-995-698-066-395/main"">
Constraining warm dark matter candidates including sterile neutrinos and light gravitinos with WMAP and the Lyman-alpha forest</a><br>
Matteo Viel, Julien Lesgourgues, Martin G. Haehnelt, <i>et al.</i> <br><br>
The matter power spectrum at comoving scales of $(1\ensuremath{-}40){h}^{\ensuremath{-}1}\text{ }\text{ }\mathrm{Mpc}$ is very sensitive to the presence of Warm Dark Matter (WDM) particles with large free-streaming lengths. We present constraints on the mass of WDM particles from a combined analysis of the matter power spectrum inferred from the large samples of high-resolution high signal-to-nois...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.71.063534"">10.1103/physrevd.71.063534</a> [<a href=""http://www.arxiv-vanity.com/papers/astro-ph/0501562/"">PDF</a>]</div>",,Constraining warm dark matter candidates including sterile neutrinos and light gravitinos with WMAP and the Lyman-alpha forest,2018-05-12,Physical Review D,125-995-698-066-395,631,0.2592,
"47-0,2506",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/002-603-176-447-670/main"">
Strategy for searching for a dark matter sterile neutrino</a><br>
Alexey Boyarsky, A. Neronov, Oleg Ruchayskiy, <i>et al.</i> <br><br>
We propose a strategy for how to look for dark matter particles possessing a radiative decay channel and derive constraints on their parameters from observations of x rays from our own Galaxy and its dwarf satellites. When applied to sterile neutrinos in the keV mass range this approach gives a significant improvement to restrictions on neutrino parameters compared with previous works.
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.97.261302"">10.1103/physrevlett.97.261302</a> [<a href=""https://arxiv.org/pdf/astro-ph/0603660v3"">PDF</a>]</div>",,Strategy for searching for a dark matter sterile neutrino,2018-05-12,Physical Review Letters,002-603-176-447-670,168,0.2506,
"48-0,2451",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/136-907-729-532-579/main"">
The $\nu$MSM, Dark Matter and Neutrino Masses</a><br>
Takehiko Asaka, Steve Blanchet, Mikhail Shaposhnikov <br><br>
We investigate an extension of the Minimal Standard Model by right-handed neutrinos (the $\nu$MSM) to incorporate neutrino masses consistent with oscillation experiments. Within this theory, the only candidates for dark matter particles are sterile right-handed neutrinos with masses of a few keV. Requiring that these neutrinos explain entirely the (warm) dark matter, we find that their number is a...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/j.physletb.2005.09.070"">10.1016/j.physletb.2005.09.070</a> [<a href=""https://arxiv.org/pdf/hep-ph/0503065"">PDF</a>]</div>",,"The $\nu$MSM, Dark Matter and Neutrino Masses",2018-05-12,Physics Letters B,136-907-729-532-579,538,0.2451,
"49-0,2375",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/051-497-978-955-002/main"">
Monochromatic neutrinos generated by dark matter and the seesaw mechanism</a><br>
Emilian Dudas, Yann Mambrini, Keith A. Olive <br><br>
We study a minimal extension of the Standard Model where a scalar field is coupled to the right handed neutrino responsible for the see-saw mechanism for neutrino masses. In the absence of other couplings, below 8 TeV the scalar $A$ has a unique decay mode $A \rightarrow \nu \nu$, $\nu$ being the physical observed light neutrino state. Above 8 (11) TeV, the 3-body (4-body) decay modes dominate. Im...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.91.075001"">10.1103/physrevd.91.075001</a> [<a href=""https://arxiv.org/pdf/1412.3459"">PDF</a>]</div>",,Monochromatic neutrinos generated by dark matter and the seesaw mechanism,2018-05-12,Physical Review D,051-497-978-955-002,44,0.2375,
"50-0,2338",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/023-023-715-763-383/main"">
Possible capture of keV sterile neutrino dark matter on radioactive beta-decaying nuclei</a><br>
Yufeng Li, Zhi-zhong Xing <br><br>
There exists an observed ""desert"" spanning six orders of magnitude between O(0.5) eV and O(0.5) MeV in the fermion mass spectrum. We argue that it might accommodate one or more keV sterile neutrinos as a natural candidate for warm dark matter. To illustrate this point of view, we simply assume that there is one key sterile neutrino nu(4) and its flavor eigenstate nu(s) weakly mixes with three acti...
<br><br>
[<a href=""https://www.arxiv-vanity.com/papers/1009.5870/"">PDF</a>]</div>",,Possible capture of keV sterile neutrino dark matter on radioactive beta-decaying nuclei,2018-05-15,Physics Letters B,023-023-715-763-383,33,0.2338,
"51-0,2274",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/016-218-367-755-534/main"">
A class of three-loop models with neutrino mass and dark matter</a><br>
Chian-Shu Chen, Kristian L. McDonald, Salah Nasri <br><br>
Abstract We study a class of three-loop models for neutrino mass in which dark matter plays a key role in enabling the mass diagram. The simplest models in this class have Majorana dark matter and include the proposal of Krauss, Nasri and Trodden; we identify the remaining related models, including the viable colored variants. The next-to-simplest models use either more multiplets and/or a slight ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/j.physletb.2014.05.082"">10.1016/j.physletb.2014.05.082</a> [<a href=""https://arxiv.org/pdf/1404.6033v2"">PDF</a>]</div>",,A class of three-loop models with neutrino mass and dark matter,2018-05-12,Physics Letters B,016-218-367-755-534,47,0.2274,
"52-0,2229",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/095-749-440-451-587/main"">
A radiative model for the weak scale and neutrino mass via dark matter</a><br>
Amine Ahriche, Salah Nasri, Kristian L. McDonald <br><br>
We present a three-loop model of neutrino mass in which both the weak scale and neutrino mass arise as radiative effects. In this approach, the scales for electroweak symmetry breaking, dark matter, and the exotics responsible for neutrino mass, are related due to an underlying scale-invariance. This motivates the otherwise-independent $$ \mathcal{O}\left(\mathrm{T}\mathrm{e}\mathrm{V}\right) $$
 ...
<br><br>
[<a href=""https://arxiv.org/abs/1508.02607"">PDF</a>]</div>",,A radiative model for the weak scale and neutrino mass via dark matter,2018-05-15,Journal of High Energy Physics,095-749-440-451-587,38,0.2229,
"53-0,2176",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/063-280-280-291-994/main"">
Realistic sterile neutrino dark matter with keV mass does not contradict cosmological bounds.</a><br>
Alexey Boyarsky, Julien Lesgourgues, Oleg Ruchayskiy, <i>et al.</i> <br><br>
Previous fits of sterile neutrino dark matter (DM) models to cosmological data ruled out masses smaller than {approx}8 keV, assuming a production mechanism that is not the best motivated from a particle physics point of view. Here we focus on a realistic extension of the standard model with three sterile neutrinos, consistent with neutrino oscillation data and baryogenesis, with the lightest steri...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.102.201304"">10.1103/physrevlett.102.201304</a> [<a href=""https://arxiv.org/abs/0812.3256"">PDF</a>]</div>",,Realistic sterile neutrino dark matter with keV mass does not contradict cosmological bounds.,2018-05-12,Physical Review Letters,063-280-280-291-994,179,0.2176,
"54-0,2151",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/019-708-623-064-697/main"">
keV sterile neutrino dark matter and neutrino model building</a><br>
Alexander Merle <br><br>
A sterile neutrino with a mass around the keV scale could be an interesting candidate for warm dark matter. Although there are several scenarios and production mechanisms known in which such a particle could yield the correct abundance, there are astonishingly few models around that can actually yield an explanation for the appearance of a keV-like scale. We here review three main classes of such ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1742-6596/375/1/012047"">10.1088/1742-6596/375/1/012047</a> [<a href=""https://arxiv.org/pdf/1201.0881v2"">PDF</a>]</div>",,keV sterile neutrino dark matter and neutrino model building,2018-05-11,arXiv: High Energy Physics - Phenomenology,019-708-623-064-697,12,0.2151,
"55-0,1994",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/030-586-523-081-84X/main"">
Two loop neutrino model with dark matter and leptogenesis</a><br>
Shoichi Kashiwase, Hiroshi Okada, Yuta Orikasa, <i>et al.</i> <br><br>
In this paper, we study a two-loop induced radiative neutrino model at TeV scale with global U(1) symmetry, in which we analyze dark matter and resonant leptogenesis. The model includes two kinds of dark matter candidates. We discuss what kind of dark matter can satisfy the observed relic density as well as the current direct detection bound, and be simultaneously compatible with the leptogenesis....
<br><br>
DOI: <a href=""http://dx.doi.org/10.1142/s0217751x16501219"">10.1142/s0217751x16501219</a> [<a href=""https://arxiv.org/abs/1505.04665"">PDF</a>]</div>",,Two loop neutrino model with dark matter and leptogenesis,2018-05-12,International Journal of Modern Physics A,030-586-523-081-84X,24,0.1994,
"56-0,1983",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/046-063-835-330-84X/main"">
Sterile neutrino dark matter in warped extra dimensions</a><br>
Kenji Kadota <br><br>
I consider a (long-lived) sterile neutrino dark matter scenario in a five dimensional (5D) warped extra dimension model where the fields can live in the bulk, which is partly motivated from the absence of the absolutely stable particles in a simple Randall-Sundrum model. The dominant production of the sterile neutrino can come from the decay of the radion (the scalar field representing the brane s...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.77.063509"">10.1103/physrevd.77.063509</a> [<a href=""https://arxiv.org/pdf/0711.1570"">PDF</a>]</div>",,Sterile neutrino dark matter in warped extra dimensions,2018-05-12,Physical Review D,046-063-835-330-84X,23,0.1983,
"57-0,1931",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/021-031-682-634-004/main"">
A three-loop radiative neutrino mass model with dark matter</a><br>
Li-Gang Jin, Rui Tang, Fei Zhang <br><br>
Abstract We present a model that generates small neutrino masses at three-loop level due to the existence of Majorana fermionic dark matter, which is stabilized by a Z 2 symmetry. The model predicts that the lightest neutrino is massless. We show a prototypical parameter choice allowed by relevant experimental data, which favors the case of normal neutrino mass spectrum and the dark matter with m ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/j.physletb.2014.12.034"">10.1016/j.physletb.2014.12.034</a> [<a href=""http://www.arxiv-vanity.com/papers/1501.02020/"">PDF</a>]</div>",,A three-loop radiative neutrino mass model with dark matter,2018-05-12,Physics Letters B,021-031-682-634-004,39,0.1931,
"58-0,19",New,"<div><a href=""https://www.lens.org/lens/scholar/article/009-522-414-219-869/main"">
Bounds on light sterile neutrino mass and mixing from cosmology and laboratory searches</a><br>
S. Hagstotz, Pablo F. de Salas, S. Gariazzo, <i>et al.</i> <br><br>
We provide a consistent framework to set limits on properties of light sterile neutrinos coupled to all three active neutrinos using a combination of the latest cosmological data and terrestrial measurements from oscillations, $\beta$-decay and neutrinoless double-$\beta$ decay ($0\nu\beta\beta$) experiments. We directly constrain the full $3+1$ active-sterile mixing matrix elements $|U_{\alpha4}|...
<br><br>
[<a href=""https://arxiv.org/abs/2003.02289"">PDF</a>]</div>",,Bounds on light sterile neutrino mass and mixing from cosmology and laboratory searches,2020-03-23,arXiv: Cosmology and Nongalactic Astrophysics,009-522-414-219-869,0,0.19,
"59-0,19",New,"<div><a href=""https://www.lens.org/lens/scholar/article/036-555-061-552-569/main"">
Hunting keV sterile neutrinos with KATRIN: building the first TRISTAN module</a><br>
T Houdy, A Alborini, K Altenmüller, <i>et al.</i> <br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1742-6596/1468/1/012177"">10.1088/1742-6596/1468/1/012177</a> ",,Hunting keV sterile neutrinos with KATRIN: building the first TRISTAN module,2020-03-23,Journal of Physics: Conference Series,036-555-061-552-569,0,0.19,
"60-0,19",New,"<div><a href=""https://www.lens.org/lens/scholar/article/145-289-912-938-332/main"">
A Dark Matter Interpretation of Excesses in Multiple Direct Detection Experiments</a><br>
Noah Kurinsky, Daniel Baxter, Yonatan Kahn, <i>et al.</i> <br><br>
We present a novel unifying interpretation of excess event rates observed in several dark matter direct-detection experiments that utilize single-electron threshold semiconductor detectors. Despite their different locations, exposures, readout techniques, detector composition, and operating depths, these experiments all observe statistically significant excess event rates of $\sim$ 10 Hz/kg. Howev...
<br><br>
[<a href=""http://arxiv.org/pdf/2002.06937.pdf"">PDF</a>]</div>",,A Dark Matter Interpretation of Excesses in Multiple Direct Detection Experiments,2020-03-07,arXiv: High Energy Physics - Phenomenology,145-289-912-938-332,0,0.19,
"61-0,19",New,"<div><a href=""https://www.lens.org/lens/scholar/article/066-779-046-797-948/main"">
Sterile neutrinos and neutrinoless double beta decay in effective field theory</a><br>
W. Dekens, J. de Vries, Kaori Fuyuto, <i>et al.</i> <br><br>
We investigate neutrinoless double beta decay ($0\nu\beta\beta$) in the presence of sterile neutrinos with Majorana mass terms. These gauge-singlet fields are allowed to interact with Standard-Model (SM) fields via renormalizable Yukawa couplings as well as higher-dimensional gauge-invariant operators up to dimension seven in the Standard Model Effective Field Theory extended with sterile neutrino...
<br><br>
[<a href=""https://arxiv.org/abs/2002.07182"">PDF</a>]</div>",,Sterile neutrinos and neutrinoless double beta decay in effective field theory,2020-03-07,arXiv: High Energy Physics - Phenomenology,066-779-046-797-948,0,0.19,
"62-0,19",New,"<div><a href=""https://www.lens.org/lens/scholar/article/016-703-107-934-56X/main"">
New long-lived particle searches in heavy-ion collisions at the LHC</a><br>
Marco Drewes, Andrea Giammanco, Jan Hajer, <i>et al.</i> <br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.101.055002"">10.1103/physrevd.101.055002</a> ",,New long-lived particle searches in heavy-ion collisions at the LHC,2020-03-05,Physical Review D,016-703-107-934-56X,0,0.19,
"63-0,18",New,"<div><a href=""https://www.lens.org/lens/scholar/article/189-719-430-906-083/main"">
Warming nuclear pasta with dark matter: kinetic and annihilation heating of neutron star crusts</a><br>
Javier F. Acevedo, Joseph Bramante, Rebecca K. Leane, <i>et al.</i> <br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1475-7516/2020/03/038"">10.1088/1475-7516/2020/03/038</a> ",,Warming nuclear pasta with dark matter: kinetic and annihilation heating of neutron star crusts,2020-03-23,Journal of Cosmology and Astroparticle Physics,189-719-430-906-083,0,0.18,
"64-0,1779",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/079-640-694-684-402/main"">
Sterile neutrino Dark Matter</a><br>
Alexey Boyarsky, Marco Drewes, Thierry Lasserre, <i>et al.</i> <br><br>
Abstract We review sterile neutrinos as possible Dark Matter candidates. After a short summary on the role of neutrinos in cosmology and particle physics, we give a comprehensive overview of the current status of the research on sterile neutrino Dark Matter. First we discuss the motivation and limits obtained through astrophysical observations. Second, we review different mechanisms of how sterile...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/j.ppnp.2018.07.004"">10.1016/j.ppnp.2018.07.004</a> [<a href=""https://arxiv.org/pdf/1807.07938"">PDF</a>]</div>",,Sterile neutrino Dark Matter,2018-05-14,Progress in Particle and Nuclear Physics,079-640-694-684-402,55,0.1779,
"65-0,1742",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/164-503-743-754-236/main"">
Dark matter sterile neutrinos in stellar collapse: Alteration of energy/lepton number transport and a mechanism for supernova explosion enhancement</a><br>
Jun Hidaka, George M. Fuller <br><br>
We investigate matter-enhanced Mikheyev-Smirnov-Wolfenstein (MSW) active-sterile neutrino conversion in the ${\ensuremath{\nu}}_{e}\ensuremath{\rightleftharpoons}{\ensuremath{\nu}}_{s}$ channel in the collapse of the iron core of a presupernova star. For values of sterile neutrino rest mass ${m}_{s}$ and vacuum mixing angle $\ensuremath{\theta}$ (specifically, $0.5\text{ }\text{ }\mathrm{keV}l{m}_...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.74.125015"">10.1103/physrevd.74.125015</a> [<a href=""https://arxiv.org/pdf/astro-ph/0609425v1"">PDF</a>]</div>",,Dark matter sterile neutrinos in stellar collapse: Alteration of energy/lepton number transport and a mechanism for supernova explosion enhancement,2018-05-12,Physical Review D,164-503-743-754-236,60,0.1742,
"66-0,1632",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/041-154-831-487-69X/main"">
Radiative neutrino mass and Majorana dark matter within an inert Higgs doublet model</a><br>
Amine Ahriche, Salah Nasri, Adil Jueid <br><br>
We consider an extension of the standard model (SM) with an inert Higgs doublet and three Majorana singlet fermions to address both origin and the smallness of neutrino masses and dark matter (DM) problems. In this setup, the lightest Majorana singlet fermion plays the role of DM candidate and the model parameter space can be accommodated to avoid different experimental constraints such as lepton ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.97.095012"">10.1103/physrevd.97.095012</a> [<a href=""http://export.arxiv.org/pdf/1710.03824"">PDF</a>]</div>",,Radiative neutrino mass and Majorana dark matter within an inert Higgs doublet model,2018-05-16,Physical Review D,041-154-831-487-69X,18,0.1632,
"67-0,1613",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/024-892-336-344-665/main"">
Small-scale structure formation properties of chilled sterile neutrinos as dark matter</a><br>
Kalliopi Petraki <br><br>
We calculate the free-streaming length and the phase space density of dark-matter sterile neutrinos produced from decays, at the electroweak scale, of a gauge singlet in the Higgs sector. These quantities, which depend on the dark-matter production mechanism, are relevant to the study of small-scale structure formation and may be used to constrain or rule out dark-matter candidates.
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.77.105004"">10.1103/physrevd.77.105004</a> [<a href=""https://arxiv.org/abs/0801.3470"">PDF</a>]</div>",,Small-scale structure formation properties of chilled sterile neutrinos as dark matter,2018-05-12,Physical Review D,024-892-336-344-665,61,0.1613,
"68-0,1604",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/015-973-366-147-476/main"">
Models with radiative neutrino masses and viable dark matter candidates</a><br>
Diego Restrepo, Oscar Zapata, Carlos E. Yaguna <br><br>
We provide a list of particle physics models at the TeV-scale that are compatible with neutrino masses and dark matter. In these models, the Standard Model particle content is extended with a small number (≤ 4) of scalar and fermion fields transforming as singlets, doublets or triplets under SU(2), and neutrino masses are generated radiatively via 1-loop diagrams. The dark matter candidates are st...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1007/jhep11(2013)011"">10.1007/jhep11(2013)011</a> [<a href=""https://arxiv.org/abs/1308.3655"">PDF</a>]</div>",,Models with radiative neutrino masses and viable dark matter candidates,2018-05-12,Journal of High Energy Physics,015-973-366-147-476,76,0.1604,
"69-0,1598",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/079-858-608-182-177/main"">
Deriving models for keV sterile neutrino Dark Matter with the Froggatt-Nielsen mechanism</a><br>
Alexander Merle, Viviana Niro <br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1475-7516/2011/07/023"">10.1088/1475-7516/2011/07/023</a> ",,Deriving models for keV sterile neutrino Dark Matter with the Froggatt-Nielsen mechanism,2018-05-11,Journal of Cosmology and Astroparticle Physics,079-858-608-182-177,34,0.1598,
"70-0,1554",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/054-686-816-570-937/main"">
The new νMSM (ννMSM): radiative neutrino masses, keV-scale dark matter and viable leptogenesis with sub-TeV new physics</a><br>
Sven Baumholzer, Vedran Brdar, Pedro Schwaller <br><br>
We study the scenario in which the Standard model is augmented by three generations of right-handed neutrinos and a scalar doublet. The newly introduced fields share an odd charge under a ℤ2 parity symmetry. This model, commonly known as “Scotogenic”, was designed to provide a mechanism for active neutrino mass generation as well as a viable dark matter candidate. In this paper we consider a scena...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1007/jhep08(2018)067"">10.1007/jhep08(2018)067</a> [<a href=""https://arxiv.org/pdf/1806.06864"">PDF</a>]</div>",,"The new νMSM (ννMSM): radiative neutrino masses, keV-scale dark matter and viable leptogenesis with sub-TeV new physics",2018-07-29,Journal of High Energy Physics,054-686-816-570-937,21,0.1554,
"71-0,1543",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/117-710-747-907-583/main"">
Bulk QCD thermodynamics and sterile neutrino dark matter</a><br>
Kevork N. Abazajian, George M. Fuller <br><br>
Author(s): Abazajian, Kevork N; Fuller, George M | Abstract: We point out that the relic densities of singlet (sterile) neutrinos of interest in viable warm and cold dark matter scenarios depend on the characteristics of the QCD transition in the early universe. In the most promising of these dark matter scenarios, the production of the singlets occurs at or near the QCD transition. Since producti...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.66.023526"">10.1103/physrevd.66.023526</a> [<a href=""https://arxiv.org/pdf/astro-ph/0204293"">PDF</a>]</div>",,Bulk QCD thermodynamics and sterile neutrino dark matter,2018-05-12,Physical Review D,117-710-747-907-583,79,0.1543,
